"Reference","Value","Footprint","Qty","TME Part Number","DNP","Exclude from BOM","Exclude from Board"
"BZ1","LD-BZEN-1205","Footprint:LD-BZEN-1205","1","LD-BZEN-1205","","",""
"C1","100n","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","1","CCT-100N/50V-S","","",""
"C2","470u / 50V","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","1","EEUFR1E471","","",""
"D1","SR150-DC","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","1","SR150-DC","","",""
"D2","RED","LED_THT:LED_D5.0mm","1","1383-2SURD/S530-A3","","",""
"D3","YELLOW","LED_THT:LED_D5.0mm","1","1383UYD/S530-A3","","",""
"D4","GREEN","LED_THT:LED_D5.0mm","1","1383SYGD/S530-E2","","",""
"D5","WHITE","LED_THT:LED_D5.0mm","1","INL-5AW30","","",""
"H1,H2,H3,H4","MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_Pad_Via","4","","","Excluded from BOM",""
"J1","Barrel Jack","Footprint:DCJ250-10-A-K1-K","1","DCJ250-10-A-K1-K","","",""
"J2","Conn_01x05_Pin","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Horizontal","1","PH1RB-40-UA","","",""
"J3","Conn_01x05_Socket","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical","1","ZL262-5SG","","",""
"J4,J5","Conn_01x03_Pin","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","2","ZL201-03G","","",""
"J6","JUMPER-H/R","","1","JUMPER-H/R","","","Excluded from board"
"J7","JUMPER-H/B","","1","JUMPER-H/B","","","Excluded from board"
"R1","1k5","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1","1/4W1.5K","","",""
"R2","1k3","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1","1/4W1.3K","","",""
"R3","620","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1","1/4W620R","","",""
"R4","1k1","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1","1/4W1.1K","","",""
"R5,R9","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","2","1/4W1.0K","","",""
"R6","910","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1","1/4W910R","","",""
"R7","390","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1","CF1/4W-390R","","",""
"R8","6k2","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1","1/4W6.2K","","",""
"R10","4k7","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1","1/4W4.7K","","",""
"R11,R15","2k2","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","2","1/4W2.2K","","",""
"R12,R13,R14","2k2","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","3","1/4W2.2K","","",""
"RV1","10k","Footprint:RK09K1130AH1","1","RK09K1130AH1","","",""
"SW1,SW2,SW3,SW4,SW5,SW6,SW7,SW8","SW_Push","Button_Switch_THT:SW_PUSH_6mm_H4.3mm","8","TACT-64K-F","","",""
"SW10","POWER","Footprint:OS102011MS2QN1","1","OS102011MS2QN1","","",""
"SW11","C/D","Footprint:OS102011MS2QN1","1","OS102011MS2QN1","","",""
"TP1,TP2","TestPoint","Footprint:Wire","2","","","Excluded from BOM",""
"U1","NE555P","Footprint:DIP-8_W7.62mm-socket","1","NE555P","","",""
"U2","~","","1","ICVT-8P","","","Excluded from board"
"U3","~","","1","BAT-6F22L/U-SH","","","Excluded from board"
"U4,U5,U6,U7","~","","4","B2.5X5/BN2724","","","Excluded from board"
"U8,U9,U10,U11","~","","4","B3/BN116","","","Excluded from board"
